timestamp,open,high,low,close,volume
2023-03-01 00:00:00,60000,60200,59800,60050,1200
2023-03-01 01:00:00,60050,60300,59900,60200,1500
2023-03-01 02:00:00,60200,60400,60000,60350,1300
2023-03-01 03:00:00,60350,60500,60200,60400,1400
2023-03-01 04:00:00,60400,60600,60300,60550,1200
2023-03-01 05:00:00,60550,60700,60450,60650,1100
2023-03-01 06:00:00,60650,60800,60550,60700,1150
2023-03-01 07:00:00,60700,60900,60600,60850,1250
2023-03-01 08:00:00,60850,61000,60750,60900,1300
2023-03-01 09:00:00,60900,61100,60800,61050,1350
2023-03-01 10:00:00,61050,61200,60950,61100,1400
2023-03-01 11:00:00,61100,61300,61000,61250,1450
2023-03-01 12:00:00,61250,61400,61150,61300,1500
2023-03-01 13:00:00,61300,61500,61200,61450,1550
2023-03-01 14:00:00,61450,61600,61350,61500,1600
2023-03-01 15:00:00,61500,61700,61400,61650,1650
2023-03-01 16:00:00,61650,61800,61550,61700,1700
2023-03-01 17:00:00,61700,61900,61600,61850,1750
2023-03-01 18:00:00,61850,62000,61750,61900,1800
2023-03-01 19:00:00,61900,62100,61800,62050,1850
